溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(HTTP)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(IMAP4_Base64)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(IMAP4_Quoted_Printable)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(POP3_Base64)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(POP3_Quoted_Printable)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(SMTP_Base64)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(SMTP_Quoted_Printable)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
溢出	Adobe_Acrobat_Reader_getlcon_Memory_Corruption(SMTP_UUEncode)	CVE-2009-0927	Adobe Acrobat和Reader都是非常流行的PDF文件阅读器。Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	Adobe Acrobat和Reader没有正确地处理PDF文档中所包含的恶意JavaScript。如果向Collab对象的getIcon()方式提供了特制参数，就可以触发栈溢出。成功利用这个漏洞允许以当前登录用户的权限完全控制受影响的机器。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(HTTP)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(IMAP4_Base64)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(IMAP4_Quoted_Printable)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(POP3_Base64)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(POP3_Quoted_Printable)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(SMTP_Base64)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(SMTP_Quoted_Printable)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
命令执行	Adobe_Acrobat_Reader_newPlayer_Remote_Code_Execution_(SMTP_UUEncode)	CVE-2009-4324	基于Windows和Mac OS X的Adobe Reader和Acrobat 9.3之前的9.x版本和8.2之前的8.x版本的Multimedia.api中的Doc.media.newPlayer方法中存在释放后使用漏洞。远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	远程攻击者可借助使用ZLib压缩流的特制PDF文件执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://download.opensuse.org/update/11.0/rpm/i586/acroread-9.3-0.1.i58http://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.ihttp://download.opensuse.org/update/11.2/rpm/i586/acroread-9.3-0.1.1.i
溢出	Adobe_Camera_Raw_TIFF_Image_Buffer_Underflow	CVE-2012-5679	Adobe Photoshop是一款流行的图形处理软件。Adobe Photoshop Camera Raw 7.3之前版本中存在缓冲区溢出漏洞。通过未明向量，攻击者利用该漏洞执行任意代码。	通过未明向量，攻击者利用该漏洞执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb12-28.html
其他	Adobe_Flash_AVM_Bytecode_Verification_Vulnerability	CVE-2011-0609	Adobe Flash Player 是一款高性能的、轻量型且极具表现力的客户端运行时播放器。Adobe Acrobat和Reader都是美国Adobe公司开发的非常流行的PDF文件阅读器。Adobe Flash Player，Reader和Acrobat中存在内存破坏漏洞。远程攻击者可借助特制Flash内容（作为电子邮件附件传送的Microsoft Excel中嵌入的SWF文件）执行任意代码或者导致拒绝服务（应用程序崩溃）。该漏洞位于基于Windows，Mac OS X，Linux和Solaris的Adobe Flash Player 10.2.154.13及之前版本，基于Android 10.1.106.16及之前版本，Adobe AIR 2.5.1及之前版本，以及基于Windows，Mac OS X的Adobe Reader和Acrobat 9.x至9.4.2版本和10.x至10.0.1版本中的Authplay.dll（又称为AuthPlayLib.bundle）。	Adobe Flash Player，Reader和Acrobat中存在内存破坏漏洞。远程攻击者可借助特制Flash内容（作为电子邮件附件传送的Microsoft Excel中嵌入的SWF文件）执行任意代码或者导致拒绝服务（应用程序崩溃）。该漏洞位于基于Windows，Mac OS X，Linux和Solaris的Adobe Flash Player 10.2.154.13及之前版本，基于Android 10.1.106.16及之前版本，Adobe AIR 2.5.1及之前版本，以及基于Windows，Mac OS X的Adobe Reader和Acrobat 9.x至9.4.2版本和10.x至10.0.1版本中的Authplay.dll（又称为AuthPlayLib.bundle）。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb11-06.htmlhttp://www.adobe.com/support/security/advisories/apsa11-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(HTTP)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(IMAP4_Base64)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(IMAP4_Quoted_Printable)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(POP3_Base64)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(POP3_Quoted_Printable)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(SMTP_Base64)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(SMTP_Quoted_Printable)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
溢出	Adobe_Illustrator_CS4_.eps_Buffer_Overflow_(SMTP_UUEncode)	CVE-2009-4195	Adobe Illustrator是出版、多媒体和在线图像的工业标准矢量插画软件。Adobe Illustrator CS4 14.0.0，CS3 13.0.3及之前版本，CS3 13.0.0版本中存在缓冲区溢出漏洞。远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	远程攻击者可借助Encapsulated PostScript (.eps)文件中的特长DSC标注(大于42000字节)导致直接的EIP覆盖并执行任意代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb10-01.html
命令执行	ALCATEL_OmniPCX_Office_FastLJSData_cgi_id2_Parameter_Command_Execution	CVE-2008-1331	阿尔卡特的OmniPCX Office是一套为中小型企业设计的统一通信解决方案。OmniPCX Office的Internet Access服务所使用的一个CGI脚本没有正确地过滤某些特定参数，远程攻击者从Internet检索敏感信息。	OmniPCX Office的Internet Access服务所使用的一个CGI脚本没有正确地过滤某些特定参数，远程攻击者从Internet检索敏感信息。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.alcatel-lucent.com/wps/portal
